Namespace(upscale_factor=3, batchSize=4, testBatchSize=100, nEpochs=30, lr=0.001, cuda=True, mps=False, threads=4, seed=123)
===> Loading datasets
===> Building model
===> Epoch[3](30/50): Loss: 0.0019
===> Epoch[3](31/50): Loss: 0.0074
===> Epoch[3](32/50): Loss: 0.0060
===> Epoch[3](33/50): Loss: 0.0059
===> Epoch[3](34/50): Loss: 0.0057
===> Epoch[3](35/50): Loss: 0.0037
===> Epoch[3](36/50): Loss: 0.0061
===> Epoch[3](37/50): Loss: 0.0042
===> Epoch[3](38/50): Loss: 0.0025
===> Epoch[3](39/50): Loss: 0.0036
===> Epoch[3](40/50): Loss: 0.0038
===> Epoch[3](41/50): Loss: 0.0039
===> Epoch[3](42/50): Loss: 0.0016
===> Epoch[3](43/50): Loss: 0.0078
===> Epoch[3](44/50): Loss: 0.0030
===> Epoch[3](45/50): Loss: 0.0060
===> Epoch[3](46/50): Loss: 0.0032
===> Epoch[3](47/50): Loss: 0.0033
===> Epoch[3](48/50): Loss: 0.0035
===> Epoch[3](49/50): Loss: 0.0052
===> Epoch[3](50/50): Loss: 0.0043
===> Epoch 3 Complete: Avg. Loss: 0.0045
===> Avg. PSNR: 23.1928 dB
Checkpoint saved to model_epoch_3.pth
===> Epoch[4](1/50): Loss: 0.0055
===> Epoch[4](2/50): Loss: 0.0058
===> Epoch[4](3/50): Loss: 0.0086
===> Epoch[4](4/50): Loss: 0.0040
===> Epoch[4](5/50): Loss: 0.0053
===> Epoch[4](6/50): Loss: 0.0032
===> Epoch[4](7/50): Loss: 0.0045
===> Epoch[4](8/50): Loss: 0.0020
===> Epoch[4](9/50): Loss: 0.0046
===> Epoch[4](10/50): Loss: 0.0034
===> Epoch[4](11/50): Loss: 0.0033
===> Epoch[4](12/50): Loss: 0.0038
===> Epoch[4](13/50): Loss: 0.0032
===> Epoch[4](14/50): Loss: 0.0056
===> Epoch[4](15/50): Loss: 0.0043
===> Epoch[4](16/50): Loss: 0.0024
===> Epoch[4](17/50): Loss: 0.0050
===> Epoch[4](18/50): Loss: 0.0044
===> Epoch[4](19/50): Loss: 0.0070
===> Epoch[4](20/50): Loss: 0.0041
===> Epoch[4](21/50): Loss: 0.0065
===> Epoch[4](22/50): Loss: 0.0035
===> Epoch[4](23/50): Loss: 0.0049
===> Epoch[4](24/50): Loss: 0.0037
===> Epoch[4](25/50): Loss: 0.0036
===> Epoch[4](26/50): Loss: 0.0040
===> Epoch[4](27/50): Loss: 0.0038
===> Epoch[4](28/50): Loss: 0.0040
===> Epoch[4](29/50): Loss: 0.0033
===> Epoch[4](30/50): Loss: 0.0034
===> Epoch[4](31/50): Loss: 0.0021
===> Epoch[4](32/50): Loss: 0.0013
===> Epoch[4](33/50): Loss: 0.0045
===> Epoch[4](34/50): Loss: 0.0054
===> Epoch[4](35/50): Loss: 0.0026
===> Epoch[4](36/50): Loss: 0.0024
===> Epoch[4](37/50): Loss: 0.0068
===> Epoch[4](38/50): Loss: 0.0019
===> Epoch[4](39/50): Loss: 0.0027
===> Epoch[4](40/50): Loss: 0.0046
===> Epoch[4](41/50): Loss: 0.0050
===> Epoch[4](42/50): Loss: 0.0065
===> Epoch[4](43/50): Loss: 0.0010
===> Epoch[4](44/50): Loss: 0.0030
===> Epoch[4](45/50): Loss: 0.0030
===> Epoch[4](46/50): Loss: 0.0051
===> Epoch[4](47/50): Loss: 0.0034
===> Epoch[4](48/50): Loss: 0.0062
===> Epoch[4](49/50): Loss: 0.0041
===> Epoch[4](50/50): Loss: 0.0024
===> Epoch 4 Complete: Avg. Loss: 0.0041
===> Avg. PSNR: 23.7219 dB
Checkpoint saved to model_epoch_4.pth
===> Epoch[5](1/50): Loss: 0.0039
===> Epoch[5](2/50): Loss: 0.0064
===> Epoch[5](3/50): Loss: 0.0042
===> Epoch[5](4/50): Loss: 0.0050
===> Epoch[5](5/50): Loss: 0.0016
===> Epoch[5](6/50): Loss: 0.0036
===> Epoch[5](7/50): Loss: 0.0041
===> Epoch[5](8/50): Loss: 0.0044
===> Epoch[5](9/50): Loss: 0.0034
===> Epoch[5](10/50): Loss: 0.0024
===> Epoch[5](11/50): Loss: 0.0017
===> Epoch[5](12/50): Loss: 0.0028
===> Epoch[5](13/50): Loss: 0.0021
===> Epoch[5](14/50): Loss: 0.0053
===> Epoch[5](15/50): Loss: 0.0050
===> Epoch[5](16/50): Loss: 0.0014
===> Epoch[5](17/50): Loss: 0.0027
===> Epoch[5](18/50): Loss: 0.0041
===> Epoch[5](19/50): Loss: 0.0042
===> Epoch[5](20/50): Loss: 0.0039
===> Epoch[5](21/50): Loss: 0.0023
===> Epoch[5](22/50): Loss: 0.0053
===> Epoch[5](23/50): Loss: 0.0036
===> Epoch[5](24/50): Loss: 0.0034
===> Epoch[5](25/50): Loss: 0.0021
===> Epoch[5](26/50): Loss: 0.0023
===> Epoch[5](27/50): Loss: 0.0025
===> Epoch[5](28/50): Loss: 0.0028
===> Epoch[5](29/50): Loss: 0.0054
===> Epoch[5](30/50): Loss: 0.0051
===> Epoch[5](31/50): Loss: 0.0053
===> Epoch[5](32/50): Loss: 0.0055
===> Epoch[5](33/50): Loss: 0.0036
===> Epoch[5](34/50): Loss: 0.0053
===> Epoch[5](35/50): Loss: 0.0032
===> Epoch[5](36/50): Loss: 0.0034
===> Epoch[5](37/50): Loss: 0.0057
===> Epoch[5](38/50): Loss: 0.0041
===> Epoch[5](39/50): Loss: 0.0034
===> Epoch[5](40/50): Loss: 0.0039
===> Epoch[5](41/50): Loss: 0.0014
===> Epoch[5](42/50): Loss: 0.0054
===> Epoch[5](43/50): Loss: 0.0044
===> Epoch[5](44/50): Loss: 0.0040
===> Epoch[5](45/50): Loss: 0.0048
===> Epoch[5](46/50): Loss: 0.0056
===> Epoch[5](47/50): Loss: 0.0024
===> Epoch[5](48/50): Loss: 0.0040
===> Epoch[5](49/50): Loss: 0.0038
===> Epoch[5](50/50): Loss: 0.0024
===> Epoch 5 Complete: Avg. Loss: 0.0038
===> Avg. PSNR: 23.9289 dB
Checkpoint saved to model_epoch_5.pth
===> Epoch[6](1/50): Loss: 0.0039
===> Epoch[6](2/50): Loss: 0.0065
===> Epoch[6](3/50): Loss: 0.0011
===> Epoch[6](4/50): Loss: 0.0027
===> Epoch[6](5/50): Loss: 0.0041
===> Epoch[6](6/50): Loss: 0.0038
===> Epoch[6](7/50): Loss: 0.0045
===> Epoch[6](8/50): Loss: 0.0034
===> Epoch[6](9/50): Loss: 0.0026
===> Epoch[6](10/50): Loss: 0.0043
===> Epoch[6](11/50): Loss: 0.0055
